15:04:16.652 [Thread-1 (_run) ] INFO     serial_controller.serial_handler Scanning for STM32 on COM ports...
15:04:16.653 [Thread-2 (_run) ] INFO     mavlink.mavlink_worker         [state-poll] connecting to tcp:127.0.0.1:5762...
15:04:16.654 [Thread-3 (_run) ] INFO     mavlink.mavlink_worker         [command-sender] connecting to tcp:127.0.0.1:5763...
15:04:16.654 [MainThread      ] INFO     __main__                     Controller started.
15:04:16.655 [Thread-3 (_run) ] INFO     mavlink.mavlink_worker         [command-sender] connected on tcp:127.0.0.1:5763.
15:04:16.655 [Thread-3 (_run) ] INFO     mavlink.mavlink_worker       UAVCommandSender waiting for heartbeat...
15:04:16.656 [Thread-2 (_run) ] INFO     mavlink.mavlink_worker         [state-poll] connected on tcp:127.0.0.1:5762.
15:04:16.656 [Thread-2 (_run) ] INFO     mavlink.mavlink_worker       UAVStatePoller waiting for heartbeat...
15:04:16.663 [Thread-1 (_run) ] INFO     serial_controller.serial_handler Found STM32 (DFRobot CH340, matched by description) on COM67 — 'USB-Enhanced-SERIAL-D CH344 (COM67)'
15:04:16.665 [Thread-1 (_run) ] INFO     serial_controller.serial_handler STM32 connected on COM67.
15:04:16.666 [SerialReader    ] INFO     serial_controller.serial_handler SerialReader: started.
15:04:16.666 [SerialProcessor ] INFO     serial_controller.serial_handler SerialProcessor: started.
15:04:16.711 [Thread-2 (_run) ] INFO     mavlink.mavlink_worker       UAVStatePoller heartbeat received — system 1 component 1
15:04:16.711 [Thread-3 (_run) ] INFO     mavlink.mavlink_worker       UAVCommandSender heartbeat received — system 1 component 1
15:04:16.713 [Thread-2 (_run) ] INFO     mavlink.mavlink_worker       UAVStatePoller loop started.
15:04:16.714 [Thread-3 (_run) ] INFO     mavlink.uav_commads.command_sender UAVCommandSender connected.
15:04:16.715 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1829,1820) -> roll=-7 pitch=-11
15:04:16.715 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2005) -> yaw=0 throttle=489
15:04:16.715 [Thread-3 (_run) ] INFO     mavlink.mavlink_worker       UAVCommandSender loop started.
15:04:16.715 [UAVCommandSender] INFO     mavlink.uav_commads.commands.direction_commands ManualController: streaming started.
15:04:16.722 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:16.723 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:16.815 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1835,1828) -> roll=-3 pitch=-7
15:04:16.815 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:16.916 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1835,1828) -> roll=-3 pitch=-7
15:04:16.916 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:17.017 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1835,1828) -> roll=-3 pitch=-7
15:04:17.018 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:17.118 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1840,1834) -> roll=-1 pitch=-4
15:04:17.118 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2003,2007) -> yaw=0 throttle=490
15:04:17.219 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1843,1836) -> roll=0 pitch=-3
15:04:17.220 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2003,2007) -> yaw=0 throttle=490
15:04:17.320 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1843,1836) -> roll=0 pitch=-3
15:04:17.321 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2006) -> yaw=0 throttle=489
15:04:17.422 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1843,1836) -> roll=0 pitch=-3
15:04:17.422 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2006) -> yaw=0 throttle=489
15:04:17.522 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1845,1836) -> roll=0 pitch=-3
15:04:17.523 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2001,2005) -> yaw=0 throttle=489
15:04:17.624 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1845,1836) -> roll=0 pitch=-3
15:04:17.624 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2001,2005) -> yaw=0 throttle=489
15:04:17.724 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1847,1838) -> roll=0 pitch=-2
15:04:17.725 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:17.748 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:17.749 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:17.826 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1847,1838) -> roll=0 pitch=-2
15:04:17.826 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:17.927 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1849,1840) -> roll=0 pitch=-1
15:04:17.928 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2006) -> yaw=0 throttle=489
15:04:18.029 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1849,1840) -> roll=0 pitch=-1
15:04:18.029 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2006) -> yaw=0 throttle=489
15:04:18.129 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1848,1841) -> roll=0 pitch=0
15:04:18.129 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2005) -> yaw=0 throttle=489
15:04:18.230 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1848,1841) -> roll=0 pitch=0
15:04:18.230 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2005) -> yaw=0 throttle=489
15:04:18.331 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1842) -> roll=0 pitch=0
15:04:18.331 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2006) -> yaw=0 throttle=489
15:04:18.432 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1842) -> roll=0 pitch=0
15:04:18.432 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2006) -> yaw=0 throttle=489
15:04:18.533 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1851,1844) -> roll=0 pitch=0
15:04:18.533 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2008) -> yaw=0 throttle=490
15:04:18.634 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1851,1844) -> roll=0 pitch=0
15:04:18.635 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2008) -> yaw=0 throttle=490
15:04:18.735 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1849,1844) -> roll=0 pitch=0
15:04:18.735 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:18.773 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:18.777 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:18.836 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1849,1844) -> roll=0 pitch=0
15:04:18.836 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2005) -> yaw=0 throttle=489
15:04:18.938 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1844) -> roll=0 pitch=0
15:04:18.938 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2006) -> yaw=0 throttle=489
15:04:19.039 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1844) -> roll=0 pitch=0
15:04:19.039 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2006) -> yaw=0 throttle=489
15:04:19.140 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1854,1846) -> roll=0 pitch=0
15:04:19.141 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2003,2008) -> yaw=0 throttle=490
15:04:19.242 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1854,1846) -> roll=0 pitch=0
15:04:19.243 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2003,2008) -> yaw=0 throttle=490
15:04:19.343 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1853,1846) -> roll=0 pitch=0
15:04:19.344 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2007) -> yaw=0 throttle=490
15:04:19.444 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1853,1846) -> roll=0 pitch=0
15:04:19.445 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2007) -> yaw=0 throttle=490
15:04:19.546 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1849,1844) -> roll=0 pitch=0
15:04:19.546 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2007) -> yaw=0 throttle=490
15:04:19.648 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1849,1844) -> roll=0 pitch=0
15:04:19.648 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2007) -> yaw=0 throttle=490
15:04:19.749 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1852,1845) -> roll=0 pitch=0
15:04:19.749 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2006) -> yaw=0 throttle=489
15:04:19.783 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:19.783 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:19.851 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1852,1845) -> roll=0 pitch=0
15:04:19.851 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2006) -> yaw=0 throttle=489
15:04:19.952 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1851,1844) -> roll=0 pitch=0
15:04:19.952 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2009) -> yaw=0 throttle=490
15:04:20.053 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1851,1844) -> roll=0 pitch=0
15:04:20.053 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2009) -> yaw=0 throttle=490
15:04:20.154 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1848,1843) -> roll=0 pitch=0
15:04:20.155 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2007) -> yaw=0 throttle=490
15:04:20.256 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1848,1843) -> roll=0 pitch=0
15:04:20.256 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2007) -> yaw=0 throttle=490
15:04:20.357 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1851,1844) -> roll=0 pitch=0
15:04:20.357 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2010) -> yaw=0 throttle=490
15:04:20.459 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1851,1844) -> roll=0 pitch=0
15:04:20.459 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2010) -> yaw=0 throttle=490
15:04:20.561 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1843) -> roll=0 pitch=0
15:04:20.561 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2005) -> yaw=0 throttle=489
15:04:20.662 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1843) -> roll=0 pitch=0
15:04:20.662 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2002,2005) -> yaw=0 throttle=489
15:04:20.762 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1843) -> roll=0 pitch=0
15:04:20.763 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2009) -> yaw=0 throttle=490
15:04:20.794 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:20.795 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:20.864 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1850,1843) -> roll=0 pitch=0
15:04:20.864 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2009) -> yaw=0 throttle=490
15:04:20.965 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1852,1846) -> roll=0 pitch=0
15:04:20.965 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:21.067 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1852,1846) -> roll=0 pitch=0
15:04:21.068 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:21.173 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1853,1845) -> roll=0 pitch=0
15:04:21.174 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2011) -> yaw=0 throttle=491
15:04:21.275 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1853,1845) -> roll=0 pitch=0
15:04:21.275 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2011) -> yaw=0 throttle=491
15:04:21.376 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1852) -> roll=0 pitch=0
15:04:21.376 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2009) -> yaw=0 throttle=490
15:04:21.477 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1852) -> roll=0 pitch=0
15:04:21.477 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2009) -> yaw=0 throttle=490
15:04:21.579 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1503,1874) -> roll=-184 pitch=0
15:04:21.579 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2008) -> yaw=0 throttle=490
15:04:21.679 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1503,1874) -> roll=-184 pitch=0
15:04:21.679 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2008) -> yaw=0 throttle=490
15:04:21.780 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(262,1904) -> roll=-857 pitch=0
15:04:21.781 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2009) -> yaw=0 throttle=490
15:04:21.804 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:21.808 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:21.881 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(262,1904) -> roll=-857 pitch=0
15:04:21.882 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2009) -> yaw=0 throttle=490
15:04:21.983 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(232,1951) -> roll=-874 pitch=0
15:04:21.983 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2009) -> yaw=0 throttle=490
15:04:22.083 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(232,1951) -> roll=-874 pitch=0
15:04:22.083 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2009) -> yaw=0 throttle=490
15:04:22.184 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(230,1950) -> roll=-875 pitch=0
15:04:22.184 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2009) -> yaw=0 throttle=490
